section,sheet,film_kr,film_en,field,korean,english
국제경쟁 International Competition,IC,지구에서만,Only on Earth,프로그램 노트,"<지구에서만>은 나의 두 번째 다큐멘터리이자 가장 야심 찬 작품이다. 이 영화가 관객에게 흔들림 없고 잊히지 않는 경험으로 남기를 바란다. 궁극적으로는 우리가 자연에 어떤 영향을 끼치는지, 더 나은 미래를 위해 어떻게 함께 나아갈 수 있는지 깊이 생각해 볼 수 있는 기회가 되기를 바란다.","Only on Earth is my second and most ambitious feature documentary. I hope the film will be an unshakeable, unforgettable experience for the audience. Ultimately, it should encourage people to think deeply about our impact on the natural world, and how we might stand together for a better future."
국제경쟁 International Competition,IC,지구에서만,Only on Earth,노트 작성자,감독 로빈 페트레,"Robin Petré, Director"
국제경쟁 International Competition,IC,지구에서만,Only on Earth,감독명,로빈 페트레,Robin Petré
국제경쟁 International Competition,IC,지구에서만,Only on Earth,바이오,"덴마크 출신의 영화감독이자 예술가로 작품을 통해 인간과 동물의 관계, 자연과의 공존을 탐구한다. 독노마드에서 다큐멘터리 연출 석사 학위를 취득했으며 2024년 칸영화제 독스 인 프로그레스상을 수상한 <지구에서만>은 2025 베를린국제영화제에 선보였다.","Robin Petré is a Danish film director and artist. In her work, she explores human-animal relations and our co-existence with nature. She holds an MA in Documentary Film Directing from Doc Nomads. Her new film Only on Earth won the 2024 Cannes Docs-in-Progress Award and premiered at the Berlinale."
국제경쟁 International Competition,IC,지구에서만,Only on Earth,영화정보,"Denmark, Spain, Sweden | 2025 | 93min | Color | Documentary | None Premiere",
국제경쟁 International Competition,IC,하늘나라로 가요,Cielo,작품명,하늘나라로 가요,Cielo
국제경쟁 International Competition,IC,하늘나라로 가요,Cielo,시놉시스,적막한 볼리비아 알티플라노의 여덟 살 소녀 산타는 어머니를 천국으로 데려가기 위하여 별을 따라 초현실적인 여정에 나선다.,"Santa, an 8-year-old girl from the desolate Bolivian Altiplano, embarks on a surreal, star navigated journey to take her mother from a life of poverty into paradise."
국제경쟁 International Competition,IC,하늘나라로 가요,Cielo,프로그램 노트,<하늘나라로 가요>는 전형적인 서사 구조를 벗어나 관객을 영적인 세계로 안내하는 감성적인 여정이다. 영화는 어린 주인공의 시선을 통해 모든 역경을 딛고 일어서는 희망의 이야기를 들려준다.,"Cielo is an emotional journey that transcends conventional storytelling, transporting the audience to the realm of the spiritual. Through the eyes of our young protagonist, Cielo presents a story of hope against all odds."
국제경쟁 International Competition,IC,하늘나라로 가요,Cielo,노트 작성자,감독 알베르토 시아마,"Alberto Sciamma, Director"
국제경쟁 International Competition,IC,하늘나라로 가요,Cielo,감독명,알베르토 시아마,Alberto Sciamma
국제경쟁 International Competition,IC,하늘나라로 가요,Cielo,바이오,"바르셀로나 출신으로, 영국 웨스트서리예술디자인대학에서 영화를 전공했으며 뮤직비디오 감독으로 시작해 장편 영화감독이자 작가로 점차 영역을 넓혔다. 다양한 장르의 작품들을 통해 현실과 다소 동 떨어진 독특한 세계를 꾸준히 창조해 왔다.","Born in Barcelona, studied film at West Surrey College of Art and Design in England. He started as a music video director and gradually moved to feature films as a writer & director. While his work spans various genres, it consistently creates unique worlds that are somewhat detached from naturalistic reality."
국제경쟁 International Competition,IC,하늘나라로 가요,Cielo,영화정보,"UK, Bolivia | 2025 | 109min | Color | Fiction | None Premiere",
국제경쟁 International Competition,IC,황금 강가의 마지막,The Last Misfits by the Golden River,작품명,황금 강가의 마지막,The Last Misfits by the Golden River
국제경쟁 International Competition,IC,황금 강가의 마지막,The Last Misfits by the Golden River,시놉시스,"핀란드 라플란드의 외딴 곳에서 마지막으로 금을 캐며 살아가는 사람들이 들려주는 세대 차이와 땅의 깊이, 그리고 한 세계의 마지막에 관한 이야기.","A story about generational gaps, depth of land, and an end of a world, all experienced by the last gold prospector community living and working in the distant wilderness of Finnish Lapland."
국제경쟁 International Competition,IC,황금 강가의 마지막,The Last Misfits by the Golden River,프로그램 노트,"핀란드 라플란드의 마지막 전통식 금 채굴자들을 기록한 이 영화는 새로운 법령으로 150년간 이어져 온 생활 방식의 종말을 맞게 된 이들의 이야기를 감동적이고 인간적으로 담아냈다. 정말 아이러니한 것은, 새로운 기술에 필요한 광물을 얻기 위해 다국적 대기업들이 환경에 영향을 끼치는 대규모 채굴에 착수하는 것을 정부가 허용하고 있다는 점이다.","This film documents the last traditional gold prospectors of Finnish Lapland, whose 150-year-old way of life is being ended by new legislation. It is a touching and humane portrait of their persistence. The great irony is that the government simultaneously allows large multinational companies to establish vast, environmentally impactful mines nearby, seeking minerals for new technologies."
국제경쟁 International Competition,IC,황금 강가의 마지막,The Last Misfits by the Golden River,노트 작성자,감독 유호-페카 탄스카넨,"Juho-Pekka Tanskanen, Director"
국제경쟁 International Competition,IC,황금 강가의 마지막,The Last Misfits by the Golden River,감독명,유호-페카 탄스카넨,Juho-Pekka Tanskanen
국제경쟁 International Competition,IC,황금 강가의 마지막,The Last Misfits by the Golden River,바이오,핀란드 감독으로 알토대학교에서 석사학위를 받았다. 유시상 최우수다큐멘터리 부문 후보에 오른 첫 장편 다큐멘터리 <나의 바르셀로나를 기다리며>는 핀란드 주요 언 론으로부터 평점 4점을 받았으며 현재 유럽 전역 넷플릭스에서 상영 중이다.,"Finnish director Juho-Pekka Tanskanen holds an MA from Aalto University. His debut feature documentary, Waiting for Barcelona , was nominated for the Jussi Award for Best Documentary. The critically acclaimed film received 4-star reviews from Finland’s leading newspapers and is now streaming on Netflix across Europe."
국제경쟁 International Competition,IC,황금 강가의 마지막,The Last Misfits by the Golden River,영화정보,"Finland | 2025 | 80min | Color, B&W | Documentary | Asian Premiere",
국제경쟁 International Competition,IC,비욘드,Beyond,작품명,비욘드,Beyond
국제경쟁 International Competition,IC,비욘드,Beyond,시놉시스,"<비욘드>는 알렉스 벨리니의 인생을 바꿔놓은 2017년 바트나요쿨 빙하 탐험에서 시작된다. 2025년 1월, 알렉스는 8년 전 탐험의 의미를 새롭게 해석하고 답을 찾기 위해 다시 그곳을 찾는다. 이 재구성을 통해 탐험의 의미와 한계라는 개념을 다시 생각해 보는 계기가 되기를 바란다.","Beyond begins with Alex Bellini's 2017 Vatnajokull glacier expedition, a life-changing experience. In Jan. 2025, Alex returns to the expedition sites to seek answers and interpret the meaning of what happened eight years earlier with new eyes. Through this reconstruction, the documentary aims to contribute to universal reflection on the meaning of exploration and the concept of limits."
국제경쟁 International Competition,IC,비욘드,Beyond,프로그램 노트,"이탈리아의 탐험가 알렉스 벨리니와 감독 프란체스코 클레리치는 2024년 울산울주세계산악영화제에서 만나 의기투합, 이 영화가 완성되었다. 탐험가 알렉스 벨리니를 넘어, 인간 벨리니의 면모를 감독의 시선으로 담아낸 영화.","Italian explorer Alex Bellini and director Francesco Clerici met at the Ulsan Ulju Mountain Film Festival in 2024 and discovered a shared vision that led to the creation of this film. Seen through the director's eyes, the film presents Bellini not only as an explorer but also as a human being."
국제경쟁 International Competition,IC,비욘드,Beyond,노트 작성자,프로그래머 이정진,"Jinna Lee, Programmer"
국제경쟁 International Competition,IC,비욘드,Beyond,감독명,"알렉스 벨리니, 프란체스코 클레리치","Alex Bellini, Francesco Clerici"
국제경쟁 International Competition,IC,비욘드,Beyond,바이오,"알렉스 벨리니
탐험가이자 환경운동가로 대서양과 태평양을 혼자서 노를 저어 횡단한 것으로 유명하다. 뉴욕 탐험가 클럽의 멤버다.
프란체스코 클레리치
수상 경력이 있는 감독이자 대학교수. 2015년 데뷔작 <손의 제스처>로 베를린국제영화제에서 국제영화비평가연맹상을 수상했다.","Alex Bellini
An explorer and environmental activist, he is known for rowing solo across the Atlantic and Pacific Oceans. He is a member of the Explorers Club of New York.
Francesco Clerici
An award-winning director and university professor. In 2015, Hand Gesture, his first work, won the FIPRESCI prize at Berlin IFF."
국제경쟁 International Competition,IC,비욘드,Beyond,영화정보,Italy | 2025 | 46min | Color | Documentary | Asian Premiere,
국제경쟁 International Competition,IC,목 없는 기수,The Headless Horseman,작품명,목 없는 기수,The Headless Horseman
국제경쟁 International Competition,IC,목 없는 기수,The Headless Horseman,시놉시스,"속임수와 병, 이별과 의심, 살을 에는 추위, 끝없는 공허, 그리고 도사리는 죽음. 히말라야의 무자비한 눈 속에서, 샤를 뒤불로즈와 시몽 벨프링거는 어쩌면 이 위험한 길 위에서야말로 삶의 기쁨을 발견할 수 있다는 것을 깨닫는다.","Deception and illness. Separation and doubt. Icy cold, abyssal emptiness, and lurking death. In the merciless snows of the Himalayas, Charles Dubouloz and Symon Welfringer discover that the joy of life can be found, perhaps above all, on these perilous paths."
국제경쟁 International Competition,IC,목 없는 기수,The Headless Horseman,프로그램 노트,"비록 동기는 다르지만 같은 목표를 가진 두 산악인 친구를 그린 영화. 그들의 목표는 7,000 미터가 넘는 봉우리의 알파인 등반 루트를 개척하는 것이다.","The film portrays two mountaineering friends, whose motivations differ but who share the same goal: to open a route on a 7,000m+ summit, in alpine style."
국제경쟁 International Competition,IC,목 없는 기수,The Headless Horseman,노트 작성자,프로듀서 피에르 디못,"Pierre Desmottes, Producer"
국제경쟁 International Competition,IC,목 없는 기수,The Headless Horseman,감독명,앤디 꼴레,Andy Collet
국제경쟁 International Competition,IC,목 없는 기수,The Headless Horseman,바이오,"스포츠는 항상 나에게 특별한 힘을 주었다. 바로 변화의 능력이다. 나는 프리스타일 스키어 출신으로 지금은 트레일 러너다. 스키는 내게 꿈과 창의적으로 생각하는 법을 가르쳐 주었고, 트레일 러닝은 절제와 정신력을 길러 주었다. 스포츠는 서로 교감하고 성장하며, 시야를 넓혀주는 열정을 나누는 일이다.","Sport has always held a unique power for me: the ability to transform. I’m a former freestyle skier, and now a trail runner. Ski taught me to dream and think creatively, while trail running in- stilled discipline and mental strength. Sport is about connecting, growing, and sharing a passion that opens perspectives."
국제경쟁 International Competition,IC,목 없는 기수,The Headless Horseman,영화정보,France | 2024 | 42min | Color | Documentary | Asian Premiere,
국제경쟁 International Competition,IC,마을의 수호자들,Placekeepers,작품명,마을의 수호자들,Placekeepers
국제경쟁 International Competition,IC,마을의 수호자들,Placekeepers,시놉시스,"조지아 투셰티의 코카서스 산악지대로 이어지는 유일한 도로가 겨울철 7개월 동안 폐쇄되면서, 극소수의 사람들만 남게 되었다.","As the only road leading to the Caucasus mountain region of Tusheti, Georgia, closes for 7 months of winter, a handful of holdouts remain."
국제경쟁 International Competition,IC,마을의 수호자들,Placekeepers,프로그램 노트,"조지아의 투셰티, 쇠퇴하고 있는 고산지대 공동체는 농촌 인구 감소, 세대 간 변화, 소련 체제의 잔재라는 어려움을 겪고 있다. 동시에 대안적 생활 방식과 집단 회복력, 미래로 이어지는 불확실한 길을 엿볼 수 있는 기회를 제공한다.","In remote Tusheti, Georgia, a dwindling highland community grapples with rural depopulation, intergenerational change, and Soviet memory—offering a rare glimpse into alternative ways of living, collective resilience, and an uncertain path into the future."
국제경쟁 International Competition,IC,마을의 수호자들,Placekeepers,노트 작성자,감독 로버트 호프,"Robert Hope, Director"
국제경쟁 International Competition,IC,마을의 수호자들,Placekeepers,감독명,로버트 호프,Robert Hope
국제경쟁 International Competition,IC,마을의 수호자들,Placekeepers,바이오,샌프란시스코를 기반으로 활동하는 다큐멘터리 감독. 그의 단편 다큐멘터리 <마을의 수호자들>은 빅스카이다큐멘터리영화제에서 첫선을 보인 후 전 세계에서 상영 중이다. 로스 앤젤레스의 해체된 공동체에서 살아 가는 한 여성을 다룬 전작 <천국이 이곳에>는 여러 아카데미 공식 지정 영화제에서 상영되었다. 현재 공중보건 관련 다큐멘터리도 제작 중이다.,"Robert Hope is a documentary filmmaker based in San Francisco. His short doc, Placekeepers premiered at Big Sky and is screening internationally. His previous doc, Heaven on Earth, about the matriarch of an L.A. ex-commune, screened at Oscar-qualifying festivals. He also creates public health documentaries for the Center for the Art of Medicine."
국제경쟁 International Competition,IC,마을의 수호자들,Placekeepers,영화정보,"USA, Georgia | 2024 | 26min | Color | Documentary | Asian Premiere",
국제경쟁 International Competition,IC,수퍼 엑시와 날아라 분더,Axie and the Wunder Dachsies,작품명,수퍼 엑시와 날아라 분더,Axie and the Wunder Dachsies
국제경쟁 International Competition,IC,수퍼 엑시와 날아라 분더,Axie and the Wunder Dachsies,시놉시스,"옛날 옛적, 집으로 돌아오지 않는 한 빙벽 등반가가 있었다. 용감한 엑시는 영리한 닥스훈트 두 마리 ‘분더 닥시즈’와 함께 오래전 사라진 연인을 찾아 나서지만, 깊은 산속에서 거센 눈보라에 휩싸이고 만다. 그다음엔 과연 어떤 일이 펼쳐질까?","Once upon a time there was a rough-and-ready ice-climber who didn’t come home. Together with her two precocious dachshunds, the Wunder Dachsies, the courageous Axie goes off in search of her long-lost knight in armour. High up in the mountains, she finds herself in an ice blizzard. Who knows what happens next…"
국제경쟁 International Competition,IC,수퍼 엑시와 날아라 분더,Axie and the Wunder Dachsies,프로그램 노트,2023년 DMFF 시상식에서 리세트 반싱크 감독은 영화제를 위한 첫 스톱모션 애니메이션 제작을 선언했다. 작품의 주인공은 네덜란드 빙벽 등반 챔피언인 마리안느 반 데르 스테인과 데니스 반 후크의 닥스훈트 강아지들이다.,"During the DMFF Awards ceremony in 2023 puppet-maker Lisette Wansink declared to make the festival first stop-motion film. The main protagonist would: the dachshunds of Dutch ice-climbing champions, Marianne van der Steen and Dennis van Hoek."
국제경쟁 International Competition,IC,수퍼 엑시와 날아라 분더,Axie and the Wunder Dachsies,노트 작성자,감독 리세트 반싱크,"Lisette Wansink, Director"
국제경쟁 International Competition,IC,수퍼 엑시와 날아라 분더,Axie and the Wunder Dachsies,감독명,리세트 반싱크,Lisette Wansink
국제경쟁 International Competition,IC,수퍼 엑시와 날아라 분더,Axie and the Wunder Dachsies,바이오,"1964년 네덜란드 흐로닝언 출생. 마스트리흐트 예술대학에서 수학 했다. 일러스트레이션, 퍼핏, 스톱모션 애니메이션과 또 다른 자아인 ‘프뢰벨프라우’를 통한 공예 이야기로 동화 같은 예술 세계를 만들어 낸다, 현재 어린 반려견 후아니토와 함께 벨기에 아르덴에 거주하고 있다.","Lisette Wansink, 1964 Groningen Netherlands. Maastricht Academy of Fine Arts and Design. She builds her fairy tale art with illustrations, puppets, stop-motion films and craft stories told by her alter ego the Fröbelfrau. The result is colorful and cheerful with a humorous twist. She lives with her young dog Juanito in the Belgian Ardennes."
국제경쟁 International Competition,IC,수퍼 엑시와 날아라 분더,Axie and the Wunder Dachsies,영화정보,The Netherlands | 2024 | 7min | Color | Animation | Korean Premiere,
국제경쟁 International Competition,IC,클라이밍의 미래,The Future of Climbing,작품명,클라이밍의 미래,The Future of Climbing
국제경쟁 International Competition,IC,클라이밍의 미래,The Future of Climbing,시놉시스,"세드릭 라샤는 지난 30년 동안 세계에서 가장 전설적인 암벽들을 오르며 클라이밍의 한계를 넓혀왔다. 세계 정상급 선수였던 그는 이제 거벽과 다양한 프로젝트에 전념하고 있다. 유쾌하면서도 진솔한 시선으로 클라이밍에 전념하는 태도와 현대 클라이밍의 아름다움, 도전을 조명한다.","For 30 years, Cédric Lachat has been pushing the limits of climbing, exploring the world's most legendary walls. Former top-level competitor, he now dedicates himself entirely to big walls and ambitious projects. With humor and authenticity, he highlights the commitment, beauty, and challenges of modern climbing."
국제경쟁 International Competition,IC,클라이밍의 미래,The Future of Climbing,프로그램 노트,"사설 클라이밍장의 유행과 올림픽 종목 채택으로 빠르게 성장한 클라이밍은 역설적인 상황에 놓여 있다. 실내 클라이밍의 성공과는 대조적으로, 자연 암장은 각종 위협을 받고 있다는 것이다. 세드릭 라샤를 중심으로 펼쳐지는 이 영화는 클라이밍의 발전과 미래 세대에 남겨질 유산을 탐구한다.","With the rise of private climbing gyms and the arrival of climbing in the Olympics, this rapidly evolving sport faces a paradox: its indoor success contrasts with the threats looming over natural climbing sites. Led by Cédric Lachat, this film explores the evolution of climbing and the legacy left for future generations."
국제경쟁 International Competition,IC,클라이밍의 미래,The Future of Climbing,노트 작성자,감독 기욤 브로스트,"Guillaume Broust, Director"
국제경쟁 International Competition,IC,클라이밍의 미래,The Future of Climbing,감독명,기욤 브로스트,Guillaume Broust
국제경쟁 International Competition,IC,클라이밍의 미래,The Future of Climbing,바이오,"20년 이상 경력의 아웃도어 영화와 다큐멘터리 감독. 클라이밍, 패러글라이딩, 등반, 스키를 소재로 한 200편 이상의 영화와 다수의 수상 경력을 통해 자신만의 스타일과 영화 세계를 구축해 왔다.","Guillaume Broust is an award-winning filmmaker with more than 20 years of experience in outdoor films and documentaries. With over 200 films featuring climbing, paragliding, mountaineering, and skiing, as well as a number of awards to his name, Guillaume has created his own style and cinematographic universe."
국제경쟁 International Competition,IC,클라이밍의 미래,The Future of Climbing,영화정보,France | 2025 | 53min | Color | Documentary | Asian Premiere,
국제경쟁 International Competition,IC,제시 더프턴의 두 번째 도전,Climbing Blind II,작품명,제시 더프턴의 두 번째 도전,Climbing Blind II
국제경쟁 International Competition,IC,제시 더프턴의 두 번째 도전,Climbing Blind II,시놉시스,"희귀 유전 질환인 망막색소변성증으로 시력을 잃은 제시 더프턴의 클라이밍은 멈추지 않았다. 파라 클라이밍 대회에 출전하고 E2 루트를 성공적으로 온 사이트 등반한 데 이어, 이제 그의 야심 찬 목표는 E3 루트다. 바로 와이오밍의 데빌스 타워, 악명 높은 엘 마타도르(5.10d). 끈기가 만들어 낸 놀라운 업적이 펼쳐진다.","Blind due to the rare genetic disease retinitis pigmentosa, Jesse Dufton’s climbing has only progressed. After competing on the para-circuit and successfully on-sighting E2 routes, his ambition is now set on an E3: the infamous “El Matador” (5.10d) on Wyoming's Devil’s Tower. What unfolds is a remarkable feat of persistence."
국제경쟁 International Competition,IC,제시 더프턴의 두 번째 도전,Climbing Blind II,프로그램 노트,"시각장애인 클라이머 제시 더프턴과 그의 눈이 되어주는 몰리 더프턴이 올드맨 오브 호이에 오르는 이야기 <제시 더프턴의 도전>에 이어, 이번 영화에서도 믿기 힘들 만큼 놀라운 제시의 클라이밍 업적을 담았다.","Following on from our first film Climbing Blind. Where we see blind climber Jesse Dufton and sight guide Molly Dufton ascend the iconic Old Man of Hoy, this film picks up the story of Jesse’s incredible climbing career."
국제경쟁 International Competition,IC,제시 더프턴의 두 번째 도전,Climbing Blind II,노트 작성자,감독 앨라스터 리,"Alastair Lee, Director"
국제경쟁 International Competition,IC,제시 더프턴의 두 번째 도전,Climbing Blind II,감독명,앨라스터 리,Alastair Lee
국제경쟁 International Competition,IC,제시 더프턴의 두 번째 도전,Climbing Blind II,바이오,아웃도어 전문 감독 겸 촬영 감독으로 20년 경력의 베테랑이다. 장엄한 풍경과 인간적인 이야기를 결합하는 탁월한 재능으로 독보적인 입지를 구축했으며 전 세계에서 170개가 넘는 상을 받았다.,Alastair Lee is a director and cameraman specializing in the outdoor world. He is a 20-year industry veteran. His unique talent for combining the spectacular with the human has earned him over 170 international awards and made him a leading force in his field.
국제경쟁 International Competition,IC,제시 더프턴의 두 번째 도전,Climbing Blind II,영화정보,UK | 2024 | 39min | Color | Documentary | Asian Premiere,
국제경쟁 International Competition,IC,다이빙의 무게,Voices from the Abyss,작품명,다이빙의 무게,Voices from the Abyss
국제경쟁 International Competition,IC,다이빙의 무게,Voices from the Abyss,시놉시스,"게레로주 아카풀코의 ‘라 케브라다 절벽 다이버스’는 소년, 소녀, 청년, 노인, 아프리카계 멕시코인, 원주민 등 다양한 구성원으로 이루어져 있다. 이들은 라 케브라다의 위험천만한 절벽에서 100 피트 아래 바다로 뛰어드는 아찔한 쇼를 펼치며 생계를 이어간다. <다이빙의 무게>는 슬로 모션 영상과 개별 인터뷰, 다이버들이 직접 낭송하는 창작시를 통해 이들의 다이빙이 지닌 본질에 다가간다.","La Quebrada Cliff Divers in Acapulco, Guerrero, are a diverse group(including boys, girls, youths, elders, Afro-Mexicans, and natives) who earn their living by diving 100 feet into the sea from a dangerous cliff as part of a thrilling show at La Quebrada. In Voices from the Abyss, we explore the nature of their dives through slow-motion footage, personal testimonies, and an original poem recited by the divers themselves."
국제경쟁 International Competition,IC,다이빙의 무게,Voices from the Abyss,프로그램 노트,"우리는 심리적, 신체적 관점에서 절벽 다이빙을 밀착 탐구한다. 다이빙은 단 3초에 불과하지만, 이 영화는 슬로 모션과 인터뷰, 그리고 다이버들의 신체를 세밀히 관찰하는 방식을 통해 그들이 겪는 내면의 여정으로 관객을 이끈다.","We explore cliff diving from an intimate psychological and physical perspective. Their dives last only three seconds, and this film takes the audience through their inner journey using slow motion, testimonies, and observation of their bodies."
국제경쟁 International Competition,IC,다이빙의 무게,Voices from the Abyss,노트 작성자,감독 어빙 세라노,"Irving Serrano, Co-Director"
국제경쟁 International Competition,IC,다이빙의 무게,Voices from the Abyss,감독명,"빅토르 레혼, 어빙 세라노","Victor Rejón, Irving Serrano"
국제경쟁 International Competition,IC,다이빙의 무게,Voices from the Abyss,바이오,"빅토르 레혼
유카탄 자치대학교에서 조직개발을 위한 응용심리학 석사 학위를 취득했으며 멕시코국립영화제작학교에서 프로덕션 과정을 수료했다.
어빙 세라노
멕시코국립영화제작학교에서 프로덕션 과정을 수료하고, 영화 촬영 학사 학위를 취득했다.","Victor Rejón
He holds a Master’s in Applied Psychology for Organizational Development, and is a graduate of the Film Production Course at the Centro de Capacitación Cinematográfica.
Irving Serrano
He studied the Production Course at the Centro de Capacitación Cinematográfica and earned a bachelor's degree in Cinematography at the same institution."
국제경쟁 International Competition,IC,다이빙의 무게,Voices from the Abyss,영화정보,Mexico | 2025 | 24min | B&W | Documentary | None Premiere,
국제경쟁 International Competition,IC,라이더스 온 더 스톰,Riders on the Storm,작품명,라이더스 온 더 스톰,Riders on the Storm
국제경쟁 International Competition,IC,라이더스 온 더 스톰,Riders on the Storm,시놉시스,"거벽 등반가 시베 반히는 드류 스미스와 벨기에 동료인 니코 파브레즈, 션 빌라누에바 오드리스콜과 함께 파타고니아 토레 센트럴 동벽, 난공불락의 루트인 라이더스 온 더 스톰 첫 자유 등반에 도전한다.",Big wall climber Siebe Vanhee enlists Drew Smith and fellow Belgian countrymen Nico Favresse and Sean Villanueva O’Driscoll to attempt the first free ascent of the elusive Riders on the Storm route on the East Face of Patagonia’s Torre Central.
국제경쟁 International Competition,IC,라이더스 온 더 스톰,Riders on the Storm,프로그램 노트,"션 빌라누에바 오드리스콜과 니코 파브레즈의 모험 다음 장을 소개하게 되어 기쁘다. 10년 넘게 그들의 모험을 기록해 오며, 그들이 보여주는 놀라운 업적과 엉뚱한 에너지에 늘 감탄하게 된다.","Reel Rock is pleased to present the next chapter of the ongoing adventures of Sean Villanueva O’Driscoll and Nico Favresse. We've been documenting their expeditions for over a decade and they never fail to amaze with their impressive achievements and infectious, zany energy along the way."
국제경쟁 International Competition,IC,라이더스 온 더 스톰,Riders on the Storm,노트 작성자,배급사 릴락,The Reel Rock Team
국제경쟁 International Competition,IC,라이더스 온 더 스톰,Riders on the Storm,감독명,조쉬 로웰,Josh Lowell
국제경쟁 International Competition,IC,라이더스 온 더 스톰,Riders on the Storm,바이오,"1997년 브렛과 함께 빅업프로덕션을 설립하고 획기적인 클라이밍 영화를 만들어왔다. 센더필름즈와 2006년 파트너를 맺고 매년 릴락 투어를 개최, 세계 최대 규모의 클라이밍 미디어 플랫폼으로 성장시켰다. 장편 다큐멘터리 <던 월>의 감독이기도 하다.","Josh Lowell founded Big UP Productions with his brother Brett in 1997 and has been producing groundbreaking climbing films ever since. Big UP partnered with Sender Films in 2006 to create the annual REEL ROCK Film Tour, now the biggest climbing media platform in the world. Josh is the director of the feature length documentary The Dawn Wall."
국제경쟁 International Competition,IC,라이더스 온 더 스톰,Riders on the Storm,영화정보,USA | 2025 | 28min | Color | Documentary | Korean Premiere,
국제경쟁 International Competition,IC,영하 40도에서,Minus 103 Degrees,작품명,영하 40도에서,Minus 103 Degrees
국제경쟁 International Competition,IC,영하 40도에서,Minus 103 Degrees,시놉시스,"2023년 2월 19일, 요스트 코부쉬는 메스너 쿨와르를 통해 드날리 동계 단독 등반에 처음으로 성공했다. 이 대담한 업적을 따라가는 <영하 40도에서>는 더 큰 목표인 에베레스트 동계 단독 등반을 준비하면서 등반의 한계를 새롭게 정의하려는 코부쉬의 끊임없는 탐구를 보여준다. 고독과 전략, 불가능에 맞선 도전의 초상.","On Feb. 19, 2023, Jost Kobusch completed the first solo winter ascent of Denali via the Messner Couloir, an audacious, 35-hour climb through brutal cold and isolation. Minus 103 Degrees follows this bold feat, revealing Kobusch’s evolving quest to redefine human limits in mountaineering, as he prepares for an even greater goal: a solo winter ascent of Everest, a portrait of solitude, strategy, and the pursuit of the impossible."
국제경쟁 International Competition,IC,영하 40도에서,Minus 103 Degrees,프로그램 노트,"<영하 40도에서>는 요스트 코부쉬의 역사적인 드날리 동계 단독 등반을 담은 작품이다. 지구상 가장 극한의 환경 중 하나인 드날리에서 인간의 한계에 도전하는 한 등반가의 인내와 고독, 비전을 섬세하게 그려냈다.","Minus 103 Degrees captures Jost Kobusch’s historic solo winter ascent of Denali, an intimate portrait of endurance, solitude, and vision from a climber pushing human limits in one of Earth’s most extreme environments."
국제경쟁 International Competition,IC,영하 40도에서,Minus 103 Degrees,노트 작성자,배급 담당 키라 발마노,"Kirra Balmanno, Film distributor"
국제경쟁 International Competition,IC,영하 40도에서,Minus 103 Degrees,감독명,펠린 게르하르트,Feline Gerhardt
국제경쟁 International Competition,IC,영하 40도에서,Minus 103 Degrees,바이오,"2020년 7월, 펠린은 저널리즘 영화와 촬영에 특화된 바덴뷔르템베르크 영화아카데미를 졸업했다. 현재 프리랜서 촬영감독이자 연출자로 ARTE, SWR, 독일연방외무부 등과 협업하고 있다.","In July 2020, Feline graduated from the Filmakademie Baden-Württemberg, specializing in journalistic film and cinematography. Now a freelance camerawoman and director, she works with ARTE, SWR, and the German Federal Foreign Office."
국제경쟁 International Competition,IC,영하 40도에서,Minus 103 Degrees,영화정보,Germany | 2023 | 13min | Color | Documentary | Korean Premiere,
국제경쟁 International Competition,IC,내면 등반,Inner Walls,작품명,내면 등반,Inner Walls
국제경쟁 International Competition,IC,내면 등반,Inner Walls,시놉시스,"영화 제작자 알렉산드라 엘킨은 두 명의 베테랑 클라이머와 함께 레드락 캐년과 요세미티를 등정하는 여정을 떠난다. 두려움과 내면의 힘, 그리고 클라이밍을 향한 깊은 열정이 마침내 정상에서 만난다. 용기에는 나이가 없는 법이다.","Filmmaker Alexandra Elkin joins two veteran climbers on a breathtaking journey through Red Rock Canyon and Yosemite, where fear, inner strength, and a deep passion for climbing meet at the summit, revealing that courage knows no age."
국제경쟁 International Competition,IC,내면 등반,Inner Walls,프로그램 노트,"<내면 등반>은 우리가 어떻게 한계를 마주하고 도전하며 재정의하는지, 그리고 궁극적으로 어떻게 수용하는지 탐구한다. 아슬아슬한 촬영을 통해 나이, 전문성, 두려움과 싸우는 개인을 보여주며, 대담한 도전에는 나이 제한이 없음을 증명한다. 요세미티의 웅장함과 엘 캐피탄의 압도적인 존재감을 대형 스크린으로 만나보길 바란다.","Inner Walls examines how we confront, challenge, redefine, and ultimately accept our limitations. Through breathtaking cinematography, the film showcases individuals grappling with age, expertise, and fear, proving that bold adventures know no age limit. Yosemite's grandeur and El Capitan's imposing presence demand to be experienced on the big screen. Enjoy!"
국제경쟁 International Competition,IC,내면 등반,Inner Walls,노트 작성자,감독 알렉산드라 엘킨,"Alexandra Elkin, Director"
국제경쟁 International Competition,IC,내면 등반,Inner Walls,감독명,알렉산드라 엘킨,Alexandra Elkin
